position,vitesse,temps
0.06000000000000005,80,142064115
0.1200000000000001,80,482550156
0.41000000000000014,80,814481823
0.46999999999999975,80,1145397135
0.5099999999999998,80,1474608437
0.5499999999999998,80,1802482604
0.6099999999999999,80,2130163177
0.52,80,2460330364
0.5800000000000001,80,2787754531
0.6400000000000001,80,3112979166
0.7999999999999998,80,3433620989
0.77,80,3756480520
0.8399999999999999,80,4077385259
1.02,80,4392887759
0.96,80,4726495780
1.03,80,5040536092
1.0899999999999999,80,5353293488
1.15,80,5665166144
1.22,80,5975949946
1.28,80,6284398748
1.41,80,6590462602
1.4,80,6896519373
1.46,80,7213481248
1.52,80,7516065727
1.58,80,7816710206
1.64,80,8115661456
1.7,80,8413939997
1.76,80,8708987810
1.82,80,9002451091
1.8699999999999999,80,9294152028
1.93,80,9584078851
1.99,80,9871422184
2.05,80,10168255049
2.11,80,10455230569
2.16,80,10740453278
2.2199999999999998,80,11030180465
2.2800000000000002,80,11308636142
2.33,80,11587279944
2.39,80,11865737965
2.44,80,12139504787
2.5,80,12411676402
