position,vitesse,temps
0.06999999999999984,40,144348854
0.08999999999999986,40,486685677
0.1200000000000001,40,828195573
0.1499999999999999,40,1168819843
0.16999999999999993,40,1508909583
0.19999999999999973,40,1847851093
0.43999999999999995,40,2179925155
0.2599999999999998,40,2520354270
0.29000000000000004,40,2856861405
0.5099999999999998,40,3187184790
0.33999999999999986,40,3524033228
0.3700000000000001,40,3858418644
0.3999999999999999,40,4191851613
0.41999999999999993,40,4524444842
0.44999999999999973,40,4857881769
0.48,40,5196789008
0.5,40,5526074894
0.5299999999999998,40,5856002602
0.56,40,6185298227
0.5899999999999999,40,6512186091
0.6099999999999999,40,6838328851
0.6400000000000001,40,7165029528
0.6699999999999999,40,7490895570
0.69,40,7817037237
0.7199999999999998,40,8140083278
0.9100000000000001,40,8459014788
0.77,40,8781938955
0.7999999999999998,40,9104222444
0.8199999999999998,40,9425631611
0.8500000000000001,40,9744968538
0.8799999999999999,40,10063456975
0.8999999999999999,40,10383840517
0.9199999999999999,40,10700936142
0.9500000000000002,40,11017260152
0.9699999999999998,40,11334593433
1.1099999999999999,40,11646180985
1.14,40,11957160100
1.05,40,12271802547
1.17,40,12581615464
1.0999999999999999,40,12893547026
1.1199999999999999,40,13206346505
1.15,40,13519269057
1.18,40,13832866609
1.21,40,14145611974
1.23,40,14457738901
1.26,40,14768882703
1.28,40,15079426869
1.31,40,15389249265
1.33,40,15698632650
1.3599999999999999,40,16006689369
1.38,40,16313973119
1.4,40,16621042650
1.43,40,16927413535
1.45,40,17232905254
1.88,40,17526042597
2.08,40,17813283483
2.04,40,18100444628
2.0300000000000002,40,18389066399
1.75,40,18685944212
1.65,40,18986079316
1.6199999999999999,40,19286910149
1.64,40,19585660201
1.67,40,19883889367
1.69,40,20182726294
1.72,40,20480871659
1.74,40,20778171763
1.77,40,21071707544
1.79,40,21364696815
1.81,40,21658819783
1.83,40,21950399575
1.8499999999999999,40,22241277648
1.88,40,22533473481
2.12,40,22826006658
1.92,40,23117960616
1.95,40,23415518741
1.97,40,23702837491
1.99,40,23991338532
2.02,40,24280571241
2.04,40,24569094626
2.07,40,24853831397
2.09,40,25137941761
2.11,40,25423028376
2.13,40,25722280303
2.16,40,26004378428
2.1799999999999997,40,26286001084
2.2,40,26581583323
2.23,40,26861564417
2.25,40,27140891812
2.27,40,27422754208
2.3,40,27700739833
2.32,40,27978167698
2.34,40,28258151916
2.36,40,28537413791
2.38,40,28816039468
2.4,40,29093891291
2.42,40,29371037489
2.45,40,29647250822
2.4699999999999998,40,29923156864
2.49,40,30198562749
2.51,40,30485688113
