U1,U2,U3,U4,U5
29,19,35,33,33
30,22,34,33,33
30,22,35,33,33
30,22,35,33,32
30,22,35,33,33
30,22,35,33,33
30,21,35,32,33
30,21,34,32,33
30,22,35,32,33
30,22,35,33,33
30,22,35,32,33
30,22,35,33,33
30,22,35,32,33
30,23,34,31,33
30,22,35,33,33
30,22,35,33,33
30,22,35,32,33
29,22,35,34,35
30,22,35,33,33
30,21,35,33,33
30,22,35,32,33
30,21,35,33,33
30,22,35,33,33
30,22,35,33,33
30,22,35,32,33
30,22,35,33,33
30,22,35,32,33
30,21,35,33,33
29,21,34,31,31
30,21,35,32,33
27,22,35,33,33
30,21,35,32,33
32,22,38,32,33
30,22,35,32,33
30,22,35,32,33
30,22,34,32,33
30,22,34,32,32
30,22,35,33,33
30,21,35,33,33
30,21,34,32,33
30,21,35,32,33
30,22,35,32,33
30,22,35,32,33
31,22,35,32,33
30,21,34,32,33
30,21,35,33,33
30,22,35,33,33
31,21,35,32,33
30,21,35,33,33
30,22,35,32,33
