U1,U2,U3,U4,U5
40,29,47,42,44
40,29,47,41,44
40,29,47,41,44
40,29,47,42,44
40,29,47,42,44
40,29,47,41,44
40,29,47,42,44
39,29,47,42,43
40,29,47,42,43
40,29,47,42,44
40,29,47,42,44
40,29,47,41,44
39,29,47,42,44
40,29,47,42,43
40,29,47,41,44
40,29,47,42,44
40,29,46,42,44
40,29,47,41,44
40,29,47,42,44
40,29,47,42,43
40,29,47,42,44
40,29,47,41,44
40,29,46,42,44
40,29,47,42,44
40,29,47,42,43
40,29,47,42,43
40,29,47,42,44
40,29,47,42,44
40,29,47,41,42
42,29,48,41,44
40,30,46,41,42
40,29,47,40,44
40,31,47,41,42
40,30,47,41,43
41,29,45,40,44
40,29,46,42,44
40,29,47,42,44
40,29,47,42,43
40,29,47,42,44
40,29,47,41,44
40,29,47,42,44
40,29,47,42,44
40,29,47,41,44
40,29,47,42,44
40,29,47,42,43
40,29,47,42,44
40,29,47,42,44
40,29,47,42,37
40,29,47,42,44
40,29,47,42,44
