U1,U2,U3,U4,U5
30,22,36,33,33
31,21,36,32,34
31,22,36,33,33
30,22,36,33,33
30,23,36,33,33
31,22,36,33,33
31,23,36,33,34
30,22,36,33,33
31,20,36,33,31
31,23,37,33,33
31,22,37,33,33
30,22,37,35,32
30,22,37,33,33
30,22,36,33,33
30,22,36,33,34
31,23,36,33,33
31,22,36,33,33
31,22,36,33,33
30,22,38,32,33
31,23,37,33,33
31,23,36,33,34
31,23,36,33,34
33,22,36,35,33
30,22,37,33,33
31,23,37,33,33
30,22,37,33,33
31,22,36,33,33
31,22,36,33,34
30,22,36,33,33
30,23,36,33,33
30,22,37,33,33
30,22,36,33,33
31,23,35,33,31
30,23,36,33,33
31,22,37,33,34
30,22,36,33,33
31,22,36,33,33
31,22,36,33,34
30,22,37,33,33
32,24,38,33,35
31,23,37,33,33
30,22,37,33,34
30,23,36,33,33
30,23,35,33,34
31,22,36,33,33
31,22,36,33,33
30,22,38,33,33
31,23,37,33,33
29,23,37,33,33
30,22,36,33,34
